"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 05 11:44:27 CST 2022","Mon Sep 05 11:44:27 CST 2022","10","selenium1","test_weather","TestWeather","","","test_city[data12]",""
"passed","Mon Sep 05 11:44:27 CST 2022","Mon Sep 05 11:44:27 CST 2022","20","selenium1","test_weather","TestWeather","","","test_city[data10]",""
"passed","Mon Sep 05 11:44:27 CST 2022","Mon Sep 05 11:44:27 CST 2022","7","selenium1","test_weather","TestWeather","","","test_city[data11]",""
